port, timestamp,snr,signal,noise,ms
C,1764660315.964,1,0
p1,1764660316.3640,3.485,-2.492,-30.99,28.49
p1,1764660316.3857,3.485,-2.487,-30.8,28.3
p1,1764660316.5030,3.484,-2.37,-38.25,35.88
p1,1764660316.6347,3.483,-2.496,-31.32,28.82
p1,1764660326.4632,3.488,-2.416,-34.59,32.17
p1,1764660326.4852,3.492,-2.339,-37.41,35.07
p1,1764660326.6024,3.491,-2.386,-40.31,37.93
p1,1764660326.7342,3.49,-2.39,-37.43,35.04
p1,1764660336.5627,3.495,-2.354,-40.58,38.22
p1,1764660336.5847,3.497,-2.398,-39.92,37.52
p1,1764660336.7019,3.496,-2.472,-32.22,29.74
p1,1764660336.8337,3.496,-2.374,-39.9,37.52
p1,1764660346.6621,3.5,-2.481,-35.33,32.85
p1,1764660346.6842,3.502,-2.495,-32.58,30.08
p1,1764660346.8011,3.5,-2.48,-34.26,31.77
p1,1764660346.9331,3.501,-2.502,-32.58,30.07
G,1764660351,13.079511667,-16.77015,6
p1,1764660356.7507,3.502,-2.437,-31.01,28.57
p1,1764660356.7727,3.505,-2.363,-33.65,31.28
p1,1764660356.8898,3.504,-2.329,-42.37,40.04
p1,1764660357.0214,3.503,-2.394,-32.26,29.86
p1,1764660366.8392,3.506,-2.427,-38.17,35.75
p1,1764660366.8611,3.509,-2.433,-43.33,40.89
p1,1764660366.9783,3.507,-2.446,-36.79,34.34
p1,1764660367.1099,3.507,-2.415,-41.51,39.1
p1,1764660376.9276,3.508,-2.341,-40.71,38.37
p1,1764660376.9496,3.51,-2.341,-36.45,34.11
p1,1764660377.0664,3.508,-2.427,-30.14,27.7
p1,1764660377.1983,3.509,-2.349,-37.46,35.11
p1,1764660387.0240,3.508,-2.402,-32.21,29.81
p1,1764660387.0457,3.509,-2.424,-29.63,27.2
p1,1764660387.1629,3.508,-2.34,-37.12,34.78
p1,1764660387.2949,3.509,-2.427,-30.44,28
p1,1764660397.1222,3.507,-2.411,-32.95,30.54
