port, timestamp,snr,signal,noise,ms
C,1764315256.075,1,0
G,1764315298,13.0691,-16.747461667,13.9
p1,1764315318.6138,3.558,-6.9,-42.49,35.59
p1,1764315318.7311,3.551,-6.879,-45.02,38.14
p1,1764315318.8630,3.549,-6.746,-42.02,35.27
p1,1764315322.2382,3.564,-3.203,-33.49,30.28
p1,1764315322.3555,3.528,-6.38,-44.51,38.13
p1,1764315322.4873,3.506,-11.56,-39.87,28.3
p1,1764315332.3200,3.503,-3.309,-38.54,35.23
p1,1764315332.3420,3.507,-3.18,-41.42,38.24
p1,1764315332.4593,3.553,-3.039,-38.68,35.64
p1,1764315332.5911,3.51,-12.39,-50.73,38.34
p1,1764315342.4239,3.558,-11.71,-52.06,40.34
p1,1764315342.4459,3.562,-11.73,-46.87,35.14
p1,1764315342.5632,3.559,-11.79,-40.42,28.63
p1,1764315342.6950,3.559,-11.7,-49.69,38
p1,1764315352.4678,3.488,-6.743,-36.91,30.17
p1,1764315352.4899,3.49,-6.812,-35.31,28.49
p1,1764315352.6073,3.486,-7.212,-40.43,33.21
p1,1764315352.7397,3.489,-6.43,-34.76,28.33
G,1764315358,13.069093333,-16.747463333,15.6
C,1764315358.972,4,0
p1,1764315362.5690,3.511,-17.05,-47.27,30.21
p1,1764315362.5910,3.514,-16.9,-50.81,33.91
p1,1764315362.7083,3.512,-16.92,-57.29,40.37
p1,1764315362.8400,3.51,-17.82,-50.26,32.43
p1,1764315372.6685,3.443,-43.34,-76.7,33.36
p1,1764315372.6905,3.447,-43.11,-76.71,33.59
p1,1764315372.8077,3.444,-43.8,-73.55,29.75
p1,1764315372.9395,3.443,-42.8,-75.99,33.18
p1,1764315382.7680,3.422,-57.7,-78.5,20.76
p1,1764315382.7900,3.432,-57.69,-77.78,20.05
p1,1764315382.9070,3.426,-58.24,-77.53,19.24
p1,1764315383.0390,3.41,-58.99,-77.56,18.51
p1,1764315392.8672,3.411,-46.4,-72.35,25.94
p1,1764315392.8892,3.417,-46.58,-74.33,27.74
p1,1764315393.0065,3.416,-48.4,-77.43,29.02
p1,1764315393.1382,3.415,-50.27,-75.67,25.39
p1,1764315402.9667,3.475,-31.54,-66.24,34.7
p1,1764315402.9887,3.479,-31.22,-68.47,37.24
p1,1764315403.1059,3.478,-29.8,-65.02,35.22
p1,1764315403.2377,3.471,-31.26,-68.67,37.41
p1,1764315413.0661,3.499,-28.79,-66.9,38.11
p1,1764315413.0881,3.5,-29.08,-64.28,35.2
p1,1764315413.2054,3.485,-26.69,-55.13,28.44
p1,1764315413.3371,3.479,-24.93,-60.31,35.38
G,1764315418,13.069093333,-16.747458333,17.4
p1,1764315423.1657,3.495,-7.615,-38.06,30.44
p1,1764315423.1877,3.497,-7.51,-35.78,28.26
p1,1764315423.3047,3.493,-7.328,-42.19,34.86
p1,1764315423.4368,3.496,-7.745,-36.23,28.48
p1,1764315433.2650,3.511,-13.51,-43.75,30.24
p1,1764315433.2870,3.514,-13.38,-48.31,34.92
p1,1764315433.4042,3.513,-13.34,-53.73,40.38
p1,1764315433.5360,3.513,-12.37,-44.94,32.57
p1,1764315443.3644,3.517,-23.09,-61.77,38.68
p1,1764315443.3864,3.519,-23.08,-63.41,40.33
p1,1764315443.5037,3.518,-23.06,-55.55,32.49
p1,1764315443.6354,3.517,-23.2,-62.73,39.52
p1,1764315453.4640,3.476,-32.82,-67.7,34.88
p1,1764315453.4860,3.479,-32.91,-65.27,32.36
p1,1764315453.6030,3.474,-32.82,-62.42,29.59
p1,1764315453.7350,3.476,-33.36,-65.75,32.38
p1,1764315463.5632,3.488,-38.8,-52.86,13.88
p1,1764315463.5635,3.491,-35.56,-63.7,28.14
p1,1764315463.5852,3.491,-35.07,-64.77,29.69
p1,1764315463.7025,3.49,-34.7,-71.03,36.33
p1,1764315463.8342,3.486,-35.17,-63.26,28.07
p1,1764315463.8345,3.489,-38.45,-52.74,14.13
p1,1764315473.6627,3.48,-40.66,-73.61,32.94
p1,1764315473.6847,3.483,-40.54,-74.67,34.13
p1,1764315473.8020,3.468,-40.66,-74,33.33
p1,1764315473.9337,3.466,-39.43,-74.87,35.44
G,1764315478,13.06909,-16.747455,19.2
p1,1764315483.7622,3.479,-46.57,-77.58,31.01
p1,1764315483.7842,3.482,-46.58,-76.71,30.12
p1,1764315483.9015,3.478,-47.32,-73.53,26.21
p1,1764315484.0332,3.477,-47.34,-77.66,30.31
p1,1764315493.8617,3.461,-66.5,-78.18,11.37
p1,1764315493.8837,3.469,-66.45,-77.84,11.06
p1,1764315494.0007,3.453,-64.75,-78.07,13.11
p1,1764315494.1327,3.462,-59.25,-77.89,18.58
p1,1764315503.9609,3.476,-55.08,-77.15,22.05
p1,1764315503.9829,3.479,-54.99,-77.25,22.23
p1,1764315504.1002,3.476,-55.36,-77.38,22
p1,1764315504.2319,3.478,-56.06,-77.34,21.24
p1,1764315514.0604,3.484,-45.56,-77.27,31.71
p1,1764315514.0824,3.486,-45.32,-77.66,32.34
p1,1764315514.1997,3.486,-45.06,-74.9,29.84
p1,1764315514.3314,3.485,-44.86,-77.21,32.35
p1,1764315524.1599,3.477,-51.04,-77.8,26.75
p1,1764315524.1819,3.48,-51.1,-76.96,25.85
p1,1764315524.2989,3.477,-51.15,-75.71,24.55
p1,1764315524.4309,3.477,-51.26,-77.05,25.78
p1,1764315534.2594,3.497,-52.09,-75.17,23.06
p1,1764315534.2812,3.498,-52.01,-76.43,24.4
p1,1764315534.3984,3.498,-52.15,-77.26,25.1
p1,1764315534.5302,3.498,-52.36,-76.66,24.29
G,1764315538,13.069088333,-16.747446667,21.5
p1,1764315544.3587,3.493,-50.02,-75.59,25.56
p1,1764315544.3807,3.496,-49.77,-75.55,25.76
p1,1764315544.4979,3.496,-49.19,-76.84,27.64
p1,1764315544.6297,3.5,-48.31,-76.44,28.12
p1,1764315554.4582,3.477,-60.21,-77.61,17.32
p1,1764315554.4802,3.494,-59.9,-77.19,17.21
p1,1764315554.5974,3.49,-59.55,-77.35,17.73
p1,1764315554.7292,3.488,-59.01,-77.61,18.54
p1,1764315564.5577,3.496,-69.01,-77.47,7.788
p1,1764315564.5794,3.514,-70.07,-77.22,6.223
