port, timestamp,snr,signal,noise,ms
C,1764573579.27,1,0
p1,1764573585.3330,3.425,-20.33,-59.5,39.16
p1,1764573585.3550,3.435,-20.09,-57.76,37.66
p1,1764573585.4723,3.44,-19.19,-49.48,30.28
p1,1764573585.6040,3.441,-19.71,-58.14,38.43
G,1764573587,13.080488333,-16.766526667,7
p1,1764573595.4325,3.431,-22.62,-54.77,32.15
p1,1764573595.4545,3.435,-22.47,-52.8,30.32
p1,1764573595.5715,3.419,-22.38,-52.56,30.18
p1,1764573595.7035,3.421,-22.46,-52.53,30.07
p1,1764573605.5317,3.43,-21.98,-50.32,28.34
p1,1764573605.5537,3.435,-21.83,-51.85,30.01
p1,1764573605.6709,3.436,-20.56,-59.99,39.43
p1,1764573605.8027,3.43,-20.4,-50.55,30.15
p1,1764573615.6285,3.431,-21.28,-56.25,34.97
p1,1764573615.6505,3.436,-21.22,-59.15,37.93
p1,1764573615.7677,3.435,-21.28,-56.35,35.07
p1,1764573615.8994,3.434,-21.25,-58.75,37.5
p1,1764573625.7222,3.443,-20.85,-60.68,39.83
p1,1764573625.7442,3.448,-20.87,-55.7,34.83
p1,1764573625.8614,3.446,-20.96,-49.42,28.45
p1,1764573625.9931,3.445,-20.84,-58.47,37.63
p1,1764573635.8159,3.453,-20.8,-51.78,30.98
p1,1764573635.8379,3.457,-20.85,-49.24,28.39
p1,1764573635.9549,3.452,-20.79,-53.09,32.29
p1,1764573636.0868,3.455,-20.81,-49.46,28.64
p1,1764573645.9093,3.457,-20.77,-50.92,30.14
p1,1764573645.9313,3.461,-20.74,-53.15,32.41
p1,1764573646.0485,3.46,-20.67,-59.96,39.28
p1,1764573646.1802,3.459,-20.75,-53.36,32.61
G,1764573647,13.08049,-16.766525,7
p1,1764573656.0029,3.464,-20.74,-58.43,37.69
p1,1764573656.0249,3.468,-20.7,-60.28,39.57
p1,1764573656.1420,3.467,-20.78,-53.39,32.61
p1,1764573656.2737,3.466,-20.72,-60.76,40.04
p1,1764573666.0964,3.471,-20.7,-57.83,37.14
p1,1764573666.1184,3.475,-20.75,-53.23,32.48
p1,1764573666.2353,3.47,-20.81,-48.98,28.16
p1,1764573666.3672,3.473,-20.71,-54.61,33.9
p1,1764573676.1658,3.477,-20.78,-49.08,28.29
p1,1764573676.1875,3.477,-20.78,-49.03,28.24
p1,1764573676.3048,3.476,-20.68,-55.93,35.25
p1,1764573676.4365,3.475,-20.78,-49.02,28.23
p1,1764573686.2650,3.48,-20.72,-53.18,32.46
p1,1764573686.2870,3.483,-20.67,-55.72,35.05
p1,1764573686.4043,3.482,-20.68,-58.47,37.79
p1,1764573686.5360,3.482,-20.7,-55.65,34.95
C,1764573688.135,4,0
p1,1764573696.3645,3.485,-20.65,-60.18,39.53
p1,1764573696.3865,3.488,-20.66,-58.67,38
p1,1764573696.5037,3.487,-20.73,-51.1,30.36
p1,1764573696.6355,3.486,-20.64,-59.48,38.84
p1,1764573706.4640,3.49,-21.58,-53.99,32.42
p1,1764573706.4860,3.492,-21.58,-52.05,30.46
p1,1764573706.6030,3.489,-21.44,-51.92,30.47
p1,1764573706.7350,3.491,-21.43,-51.76,30.33
G,1764573707,13.08049,-16.766525,7.1
p1,1764573716.5633,3.491,-24.01,-52.13,28.12
p1,1764573716.5853,3.494,-23.95,-54.38,30.42
p1,1764573716.7025,3.494,-23.97,-62.92,38.95
p1,1764573716.8343,3.493,-23.97,-54.15,30.18
p1,1764573726.6627,3.496,-28.5,-62.43,33.93
p1,1764573726.6847,3.498,-28.38,-66.34,37.97
p1,1764573726.8019,3.498,-27.87,-62.25,34.38
p1,1764573726.9337,3.497,-27.13,-63.59,36.46
p1,1764573736.7622,3.499,-27.64,-63.82,36.18
p1,1764573736.7842,3.502,-27.65,-62.33,34.68
p1,1764573736.9012,3.499,-31.31,-51.23,19.88
p1,1764573736.9014,3.501,-27.74,-54.86,27.11
p1,1764573737.0331,3.501,-27.67,-61.78,34.11
p1,1764573746.8617,3.502,-26.17,-56.59,30.42
p1,1764573746.8837,3.504,-26.08,-53.81,27.72
p1,1764573747.0008,3.501,-25.59,-60.98,35.39
p1,1764573747.1328,3.502,-25.66,-54.13,28.47
p1,1764573756.9610,3.501,-20.63,-50.88,30.25
p1,1764573756.9830,3.504,-20.69,-55.71,35.02
p1,1764573757.1002,3.503,-20.48,-60.67,40.19
p1,1764573757.2319,3.502,-20.04,-52.62,32.57
p1,1764573767.0605,3.502,-18.9,-58.39,39.48
p1,1764573767.0825,3.505,-18.96,-59.34,40.38
p1,1764573767.1998,3.504,-19.36,-51.21,31.85
p1,1764573767.3315,3.503,-20.04,-59.82,39.78
G,1764573767,13.080541667,-16.766506667,9.8
p1,1764573777.1599,3.503,-34.12,-68.64,34.52
p1,1764573777.1819,3.505,-34.22,-66.02,31.8
p1,1764573777.2989,3.502,-34.76,-64.6,29.84
p1,1764573777.4309,3.504,-35.56,-67.52,31.95
p1,1764573787.2595,3.503,-39.88,-67.29,27.41
p1,1764573787.2813,3.503,-39.81,-67.65,27.83
p1,1764573787.3985,3.502,-39.85,-72.21,32.36
p1,1764573787.5303,3.503,-40.29,-67.42,27.12
p1,1764573787.5306,3.504,-43.41,-53.02,9.101
p1,1764573797.3586,3.501,-40,-69.94,29.93
p1,1764573797.3806,3.505,-39.99,-72.4,32.42
p1,1764573797.4978,3.502,-40.14,-71.64,31.5
p1,1764573797.6296,3.503,-40.53,-70.99,30.45
p1,1764573807.4583,3.503,-59.12,-73.59,14.31
p1,1764573807.4803,3.507,-60.11,-74.63,14.36
p1,1764573807.5975,3.501,-58.44,-75.84,17.32
p1,1764573807.7293,3.52,-64.76,-71.75,6.017
p1,1764573827.6569,3.499,-45.14,-72.46,27.32
p1,1764573827.6789,3.504,-44.91,-73.57,28.66
p1,1764573827.7962,3.503,-44.47,-75.98,31.51
p1,1764573827.9279,3.501,-45.71,-71.68,25.96
G,1764573827,13.080438333,-16.766403333,13.3
p1,1764573837.7564,3.503,-29.48,-63.75,34.27
p1,1764573837.7784,3.505,-29.36,-66.52,37.16
p1,1764573837.8957,3.504,-29.05,-63.69,34.64
p1,1764573838.0274,3.503,-28.72,-65.27,36.54
p1,1764573847.8559,3.504,-37.23,-68.74,31.51
p1,1764573847.8779,3.508,-37.47,-67.26,29.79
p1,1764573847.9952,3.505,-38.12,-64.81,26.68
p1,1764573848.1269,3.505,-38.36,-69.01,30.65
p1,1764573857.9554,3.504,-56.09,-71.77,15.57
p1,1764573857.9774,3.508,-56.15,-71.72,15.45
p1,1764573858.0944,3.505,-51.62,-72.48,20.82
p1,1764573858.2264,3.505,-49.24,-71.84,22.58
p1,1764573868.0546,3.505,-56.28,-72.64,16.26
p1,1764573868.0767,3.503,-56.67,-72.38,15.59
p1,1764573868.1939,3.507,-56.99,-72.22,15.1
p1,1764573868.3256,3.506,-56.85,-73.22,16.27
p1,1764573878.1542,3.505,-65.56,-72.7,6.204
p1,1764573878.1761,3.524,-65.21,-72.81,6.776
p1,1764573878.4251,3.492,-63.51,-73.16,9.161
G,1764573887,13.080866667,-16.766361667,6
p1,1764573888.2536,3.5,-60.06,-72.48,12.16
p1,1764573888.2756,3.504,-60.12,-72.69,12.32
p1,1764573888.3927,3.493,-60.14,-72.75,12.36
p1,1764573888.5247,3.511,-60.08,-72.42,12.08
p1,1764573898.3532,3.507,-58.77,-73.19,14.26
p1,1764573898.3749,3.508,-58.68,-73.47,14.64
p1,1764573898.4921,3.506,-58.24,-71.26,12.8
p1,1764573898.6241,3.508,-58.15,-71.39,13.03
p1,1764573908.4524,3.509,-62.36,-72.26,9.425
p1,1764573908.4744,3.514,-61.7,-71.92,9.791
p1,1764573908.5916,3.503,-61.81,-71.18,8.837
p1,1764573908.7234,3.507,-62.53,-71.23,8.071
p1,1764573918.5519,3.506,-56.99,-72.07,14.94
p1,1764573918.5739,3.505,-56.97,-72.44,15.34
p1,1764573918.6911,3.498,-56.5,-73.15,16.56
p1,1764573918.8229,3.51,-56.58,-73.42,16.75
p1,1764573928.6514,3.507,-55.44,-73.52,18.01
p1,1764573928.6734,3.51,-55.67,-73.02,17.27
p1,1764573928.7904,3.507,-55.88,-73.59,17.64
p1,1764573928.9224,3.51,-56.09,-73.02,16.85
C,1764573929.005,5,0
p1,1764573938.7509,3.503,-59.57,-73.62,13.88
p1,1764573938.7726,3.5,-60.35,-73.24,12.67
p1,1764573938.8899,3.504,-60.48,-73.16,12.44
p1,1764573939.0219,3.509,-61.37,-71.87,10.1
G,1764573947,13.081043333,-16.766338333,7.7
p1,1764573948.8501,3.507,-61.01,-75.28,14.11
p1,1764573948.8721,3.508,-61.52,-74.68,12.94
C,1764573949.005,4,0
p1,1764573948.9894,3.508,-61.1,-73.87,12.53
p1,1764573949.1211,3.509,-61.32,-74.26,12.71
p1,1764573979.1483,3.513,-65.96,-74,7.29
p1,1764573979.4217,3.489,-66.41,-73.68,6.366
p1,1764573999.3473,3.487,-66.71,-74.6,7.119
p1,1764573999.4866,3.499,-66.85,-74.02,6.242
G,1764574007,13.081075,-16.766278333,7.6
p1,1764574019.5461,3.509,-64.27,-73.34,8.492
p1,1764574019.5681,3.511,-64.21,-73.13,8.327
p1,1764574019.6853,3.506,-63.9,-71.97,7.336
p1,1764574019.8173,3.512,-64.48,-73.51,8.444
C,1764574029.005,5,0
p1,1764574039.7451,3.531,-63.63,-71.81,7.465
p1,1764574039.7671,3.516,-64.88,-72.29,6.546
C,1764574049.004,4,0
p1,1764574049.8445,3.509,-58.67,-73.45,14.63
p1,1764574049.8666,3.522,-57.91,-73.2,15.16
p1,1764574049.9836,3.511,-58.27,-72.89,14.46
p1,1764574050.1155,3.516,-58.31,-73.64,15.21
p1,1764574059.9438,3.51,-59.52,-72.67,12.93
p1,1764574059.9660,3.519,-59.66,-72.66,12.78
p1,1764574060.0830,3.509,-59.78,-73.35,13.37
p1,1764574060.2148,3.509,-59.81,-73.13,13.11
G,1764574067,13.081058333,-16.766081667,7
C,1764574069.006,5,0
p1,1764574080.1428,3.515,-62.52,-72.69,9.736
p1,1764574080.1648,3.512,-62.26,-72.61,9.922
p1,1764574080.2820,3.514,-61.97,-73.14,10.83
p1,1764574080.4138,3.511,-62.52,-73.05,10.12
C,1764574109.007,4,0
p1,1764574120.5405,3.507,-59.59,-73.56,13.78
p1,1764574120.5625,3.522,-59.87,-73,12.9
p1,1764574120.6798,3.505,-59.86,-74.41,14.39
p1,1764574120.8115,3.521,-59.58,-74.35,14.62
G,1764574127,13.081031667,-16.76612,8.5
C,1764574129.005,5,0
p1,1764574130.6402,3.504,-67.1,-74.2,6.159
p1,1764574130.6617,3.515,-67.8,-75.24,6.574
p1,1764574130.7792,3.499,-66.42,-74.46,7.291
p1,1764574140.7392,3.509,-68.18,-77.98,9.322
p1,1764574140.7612,3.506,-67.97,-77.88,9.439
p1,1764574140.8785,3.517,-69.32,-77.99,8.041
p1,1764574141.0102,3.514,-67.38,-75.89,7.851
C,1764574149.005,4,0
p1,1764574150.8390,3.529,-63.95,-70.94,6.022
p1,1764574160.9382,3.509,-58.82,-73.46,14.49
p1,1764574160.9602,3.51,-59.04,-73.54,14.34
p1,1764574161.0775,3.516,-58.49,-73.08,14.44
p1,1764574161.2092,3.508,-58.22,-74.54,16.22
p1,1764574171.0377,3.518,-62.03,-76.92,14.75
p1,1764574171.0597,3.52,-61.27,-77.42,16.05
p1,1764574171.1767,4.872,-71,-78.44,6.573
p1,1764574171.1770,3.521,-62.11,-77.25,15
p1,1764574171.3087,3.511,-61.97,-73.81,11.54
C,1764574179.701,4,0
p1,1764574181.1372,3.495,-64.36,-72.47,7.379
p1,1764574181.1592,3.513,-64,-72.82,8.207
p1,1764574181.2762,3.514,-64.67,-73.35,8.047
G,1764574187,13.080926667,-16.766608333,6
C,1764574189.005,5,0
p1,1764574191.2364,3.513,-54.83,-73.37,18.48
p1,1764574191.2584,3.519,-54.52,-73.48,18.91
p1,1764574191.3757,3.51,-55.09,-74.29,19.15
p1,1764574191.5075,3.515,-55,-73.97,18.92
p1,1764574201.3360,3.521,-50.65,-71.52,20.84
p1,1764574201.3580,3.516,-50.57,-71.79,21.18
p1,1764574201.4752,3.519,-50.25,-71,20.71
p1,1764574201.6069,3.517,-49.73,-72.46,22.71
C,1764574209.005,4,0
p1,1764574211.4354,3.515,-46.26,-70.12,23.84
p1,1764574211.4575,3.521,-46.42,-69.69,23.25
p1,1764574211.5744,3.517,-46.3,-69.9,23.57
p1,1764574211.5747,4.684,-56.07,-70.86,14.64
p1,1764574211.7064,3.518,-46.16,-70.4,24.22
p1,1764574221.5349,3.514,-52.42,-72.02,19.55
p1,1764574221.5567,3.519,-52.51,-71.71,19.15
p1,1764574221.5569,-4.691,-61.72,-72.7,10.63
p1,1764574221.6739,3.512,-52.85,-72.22,19.32
p1,1764574221.8057,-4.726,-62.54,-73.31,10.38
p1,1764574221.8059,3.513,-53.33,-72.39,19
C,1764574229.004,5,0
p1,1764574231.6342,3.515,-60.21,-77.52,17.23
p1,1764574231.6562,3.521,-60.35,-77.3,16.87
p1,1764574231.7734,3.518,-60.54,-77.34,16.71
p1,1764574231.9052,3.517,-60.46,-77.75,17.2
p1,1764574241.7337,3.515,-52.98,-77.07,24.07
p1,1764574241.7557,3.519,-53.03,-76.94,23.9
p1,1764574241.8729,3.518,-52.96,-75.81,22.83
p1,1764574242.0047,3.513,-53,-76.17,23.15
G,1764574247,13.080648333,-16.767015,3.7
p1,1764574251.8332,3.514,-54.04,-72.97,18.87
p1,1764574251.8552,3.523,-54.39,-72.23,17.77
p1,1764574251.9724,3.524,-54.67,-71.72,16.97
p1,1764574252.1042,3.522,-54.21,-71.29,17
p1,1764574261.9326,3.517,-55.82,-77.59,21.74
p1,1764574261.9546,3.522,-56.17,-77.14,20.94
p1,1764574262.0717,3.515,-56.19,-77.69,21.47
p1,1764574262.2037,3.518,-56.5,-77.78,21.25
C,1764574269.005,4,0
p1,1764574272.0319,3.521,-64.04,-77.72,13.5
p1,1764574272.0539,3.518,-64.06,-78.03,13.8
p1,1764574272.1711,3.518,-64.6,-76.95,12.09
p1,1764574272.3029,3.525,-64.77,-77.82,12.83
p1,1764574282.1534,3.5,-69.71,-77.27,6.723
p1,1764574282.2706,3.527,-68.48,-77.1,7.98
p1,1764574282.4024,3.522,-68.99,-77.37,7.694
C,1764574289.005,5,0
p1,1764574292.2309,3.514,-70.05,-78.38,7.641
p1,1764574292.2529,3.511,-70.45,-78.07,6.795
p1,1764574292.3699,3.508,-70.37,-77.97,6.765
p1,1764574292.5019,3.512,-68.77,-78.4,9.133
p1,1764574302.3304,3.516,-67.62,-78.34,10.33
p1,1764574302.3524,3.518,-67.22,-77.91,10.3
p1,1764574302.4694,3.52,-67.36,-77.94,10.18
p1,1764574302.6014,3.528,-67.76,-77.53,9.285
G,1764574307,13.080568333,-16.767063333,5.1
C,1764574309.004,4,0
p1,1764574312.4516,3.518,-66.16,-74.92,8.15
p1,1764574312.5689,3.528,-67.27,-75.34,7.333
p1,1764574322.5291,3.512,-64.76,-73.29,7.873
p1,1764574322.5511,3.537,-65.1,-72.68,6.749
p1,1764574322.6684,3.5,-65.85,-72.98,6.199
p1,1764574322.8001,3.536,-65.28,-72.63,6.469
p1,1764574332.6286,3.512,-63.14,-73.32,9.743
p1,1764574332.6506,3.517,-63.04,-72.94,9.426
p1,1764574332.7679,3.522,-63.37,-72.55,8.615
p1,1764574332.8996,3.51,-63.57,-72.62,8.47
p1,1764574342.7281,3.52,-53.03,-71.95,18.86
p1,1764574342.7501,3.521,-53.24,-71.85,18.55
p1,1764574342.8671,3.522,-53.01,-71.85,18.79
p1,1764574342.9991,3.521,-53.19,-71.42,18.17
C,1764574348.142,5,0
p1,1764574352.8276,3.518,-52.93,-71.46,18.48
p1,1764574352.8493,3.523,-52.93,-71.21,18.21
p1,1764574352.9666,3.518,-52.75,-71.85,19.05
p1,1764574353.0983,3.517,-53.01,-71.12,18.04
p1,1764574362.9268,3.518,-52.14,-74.35,22.18
p1,1764574362.9488,3.522,-51.9,-75.18,23.26
p1,1764574363.0661,3.519,-52.01,-74.9,22.87
p1,1764574363.1978,3.518,-51.97,-75.33,23.34
G,1764574367,13.080573333,-16.767063333,5.3
C,1764574368.134,4,0
p1,1764574373.0263,3.515,-52.02,-72.84,20.79
p1,1764574373.0483,3.521,-51.89,-73.62,21.7
p1,1764574373.1656,3.52,-51.74,-73.37,21.6
p1,1764574373.2973,3.513,-51.77,-74.51,22.72
p1,1764574383.1258,3.519,-49.79,-76.82,27.02
p1,1764574383.1478,3.52,-49.7,-76.38,26.67
p1,1764574383.2648,3.521,-49.8,-74.31,24.5
p1,1764574383.2651,-4.718,-59.18,-76.06,16.78
p1,1764574383.3968,3.518,-49.81,-75.07,25.25
C,1764574408.143,5,0
p1,1764574413.4241,3.519,-55.31,-73.87,18.5
p1,1764574413.4461,3.527,-55.04,-73.61,18.51
p1,1764574413.5633,3.519,-55.59,-74.46,18.81
p1,1764574413.6950,3.521,-55.38,-73.88,18.43
p1,1764574423.5235,3.521,-55.18,-74.63,19.4
p1,1764574423.5456,3.519,-55.35,-74.47,19.07
