port, timestamp,snr,signal,noise,ms
p1,1764095643.7927,3.494,-70.17,-78.2,7.282
p1,1764095643.8147,3.499,-70.3,-77.88,6.749
p1,1764095664.0137,3.488,-69.51,-77.3,6.999
p1,1764095664.1309,3.498,-69.9,-77.76,7.084
p1,1764095664.2626,3.487,-69.47,-77.45,7.236
G,1764095667,13.091625,-16.76339,18.4
p1,1764095674.0911,3.488,-67.59,-78.48,10.53
p1,1764095674.1132,3.488,-67.46,-77.93,10.06
p1,1764095674.2302,3.486,-67.93,-78.02,9.641
p1,1764095674.3622,3.484,-67.88,-78.47,10.19
p1,1764095684.4616,3.478,-69.74,-77.83,7.351
G,1764095727,13.091621667,-16.763391667,19.1
G,1764095787,13.091623333,-16.763396667,19.7
p1,1764095845.7813,3.49,-64.29,-76.86,12.33
p1,1764095845.8033,3.492,-64.5,-77.14,12.4
p1,1764095845.9206,3.498,-65.28,-77.45,11.9
p1,1764095846.0523,3.489,-64.67,-77.45,12.55
G,1764095847,13.0916,-16.763421667,20.3
p1,1764095855.8808,3.496,-64.17,-77.9,13.54
p1,1764095855.9028,3.498,-64.26,-77.39,12.91
p1,1764095856.0198,3.487,-64.85,-76.9,11.77
p1,1764095856.1516,3.493,-65.7,-77.05,11.01
p1,1764095865.9801,-4.655,-72.76,-80.25,6.637
p1,1764095865.9803,3.494,-63.55,-77.1,13.35
p1,1764095866.0021,3.49,-63.17,-77.15,13.81
p1,1764095866.1193,3.491,-63.21,-77.39,14
p1,1764095866.2510,3.498,-63.5,-76.76,13.05
p1,1764095876.0795,3.493,-59.64,-76.98,17.26
p1,1764095876.1015,3.493,-59.36,-76.69,17.25
p1,1764095876.2188,3.498,-59.16,-77.21,17.98
p1,1764095876.3505,3.494,-58.81,-77.06,18.19
p1,1764095886.1790,3.496,-60.63,-77.35,16.63
p1,1764095886.2010,3.498,-60.58,-76.78,16.1
p1,1764095886.3180,3.494,-61.2,-76.77,15.45
p1,1764095886.3183,4.646,-71.06,-79.82,8.139
p1,1764095886.4500,3.493,-62.11,-77.1,14.85
p1,1764095896.5493,3.479,-69.62,-77.27,6.823
p1,1764095906.3778,3.499,-67.31,-75.83,7.854
p1,1764095906.4000,3.498,-68,-76.11,7.377
p1,1764095906.5170,3.501,-68.77,-76.48,6.896
p1,1764095906.6488,3.48,-68.48,-76.52,7.302
G,1764095907,13.091585,-16.763425,20.7
p1,1764095916.4773,3.493,-59.76,-75.97,16.1
p1,1764095916.4993,3.496,-60.04,-76.23,16.08
p1,1764095916.6165,3.493,-61.44,-76.01,14.41
p1,1764095916.7483,3.489,-63.36,-75.72,12.1
p1,1764095936.6763,3.497,-65.57,-73.56,7.246
p1,1764095936.6983,3.501,-65.85,-73.45,6.77
p1,1764095946.7758,3.497,-62.48,-70.93,7.771
p1,1764095946.7975,3.497,-63.5,-70.99,6.635
p1,1764095946.9148,3.485,-60.98,-71.77,10.41
p1,1764095947.0465,3.498,-59.82,-71.67,11.57
p1,1764095966.9745,3.492,-32.92,-64.42,31.5
p1,1764095966.9965,3.495,-33.16,-61.25,28.09
p1,1764095967.1135,3.492,-34.31,-63.02,28.71
p1,1764095967.2455,3.494,-33.48,-63.86,30.38
G,1764095967,13.092061667,-16.763503333,19.7
p1,1764095977.0737,3.491,-26.7,-54.54,27.83
p1,1764095977.0957,3.494,-26.35,-56.62,30.27
p1,1764095977.2130,3.493,-25.76,-63.22,37.45
p1,1764095977.3447,3.492,-27.9,-57.84,29.94
p1,1764095987.1732,3.491,-23.7,-58.62,34.92
p1,1764095987.1952,3.494,-23.33,-61.06,37.73
p1,1764095987.3125,3.493,-22.73,-57.72,34.99
p1,1764095987.4442,3.493,-23.01,-60.73,37.72
p1,1764095997.2727,3.491,-25.68,-64.28,38.59
p1,1764095997.2947,3.494,-26.02,-61.08,35.06
p1,1764095997.4120,3.493,-26.55,-54.97,28.41
p1,1764095997.5437,3.493,-25.29,-61.28,35.99
p1,1764096007.3722,3.492,-25.23,-55.3,30.07
p1,1764096007.3942,3.495,-25.31,-53.73,28.41
p1,1764096007.5112,3.491,-25.69,-58.8,33.11
p1,1764096007.6432,3.493,-26.37,-54.68,28.3
p1,1764096017.4715,3.49,-27.78,-57.93,30.14
p1,1764096017.4935,3.493,-27.31,-60.33,33.01
p1,1764096017.6107,3.492,-25.67,-65.43,39.76
p1,1764096017.7425,3.491,-24.46,-56.82,32.36
G,1764096027,13.092096667,-16.763573333,21.4
p1,1764096027.5710,3.492,-31.89,-68.14,36.25
p1,1764096027.5930,3.494,-31.52,-68.48,36.96
p1,1764096027.7102,3.493,-30.35,-62.22,31.86
p1,1764096027.8420,3.492,-29.4,-67.31,37.91
p1,1764096037.6704,3.493,-28.35,-63.1,34.75
p1,1764096037.6924,3.495,-28.36,-60.97,32.61
p1,1764096037.8094,3.492,-27.99,-57.24,29.24
p1,1764096037.9415,3.494,-27.41,-59.75,32.33
p1,1764096047.7699,3.494,-20.89,-49.35,28.45
p1,1764096047.7917,3.494,-21.01,-50.04,29.03
p1,1764096047.9089,3.493,-21.56,-59.5,37.93
C,1764096048.007,5,0
p1,1764096048.0407,3.492,-21.03,-49.29,28.25
p1,1764096057.8692,3.492,-26.93,-60.02,33.09
p1,1764096057.8912,3.495,-26.84,-64.2,37.36
p1,1764096058.0084,3.494,-26.12,-63.56,37.44
p1,1764096058.1402,3.493,-25.24,-61.15,35.91
p1,1764096067.9687,3.493,-21.22,-61.43,40.21
C,1764096068.007,4,0
p1,1764096067.9907,3.496,-21.2,-58.95,37.76
p1,1764096068.1079,3.495,-21.18,-49.47,28.28
p1,1764096068.2397,3.494,-20.98,-58.91,37.93
p1,1764096078.0682,3.494,-23.41,-55.9,32.49
p1,1764096078.0902,3.496,-23.47,-51.71,28.23
p1,1764096078.2072,3.493,-23.5,-55.96,32.46
p1,1764096078.3392,3.495,-23.68,-53.93,30.25
G,1764096087,13.092073333,-16.763588333,20.8
p1,1764096088.1674,3.492,-29.36,-58.94,29.58
p1,1764096088.1894,3.494,-29.46,-61.8,32.34
p1,1764096088.3066,3.494,-29.33,-68.08,38.75
p1,1764096088.4384,3.494,-29.73,-61.45,31.72
p1,1764096098.2669,3.492,-28.63,-65.61,36.97
p1,1764096098.2889,3.496,-28.63,-67.28,38.65
p1,1764096098.4062,3.494,-29.15,-61.71,32.55
p1,1764096098.5379,3.494,-29.38,-68.14,38.76
C,1764096108.008,5,0
p1,1764096108.3664,3.494,-33.94,-69.19,35.25
p1,1764096108.3884,3.496,-34.37,-65.71,31.33
p1,1764096108.5054,3.493,-33.76,-61.6,27.84
p1,1764096108.6374,3.495,-33.28,-67.09,33.81
p1,1764096118.4659,3.494,-23,-51.3,28.29
p1,1764096118.4877,3.494,-22.95,-51.25,28.3
p1,1764096118.6049,3.493,-22.37,-57.76,35.39
p1,1764096118.7367,3.492,-22.36,-50.65,28.28
