port, timestamp,snr,signal,noise,ms
p1,1764415613.1232,3.398,-68.94,-79.2,9.827
p1,1764415613.1452,3.439,-68.48,-79.64,10.81
p1,1764415613.2624,3.429,-62.75,-79.73,16.9
p1,1764415613.3942,3.447,-66.52,-79.43,12.68
C,1764415616.003,4,0
p1,1764415623.2227,3.418,-58.74,-79.39,20.61
p1,1764415623.2447,3.425,-58.94,-79.19,20.2
p1,1764415623.3617,3.42,-59.3,-79.42,20.08
p1,1764415623.4937,3.418,-59.25,-79.86,20.58
p1,1764415633.3222,3.413,-57.58,-79.22,21.61
p1,1764415633.3439,4.633,-68.48,-81.21,12.49
p1,1764415633.3442,3.421,-57.7,-78.87,21.14
p1,1764415633.4612,3.412,-57.54,-79.73,22.17
p1,1764415633.5932,3.411,-57.82,-79.7,21.85
p1,1764415643.4214,3.404,-58.6,-78.52,19.87
p1,1764415643.4434,3.414,-58.78,-79.64,20.83
p1,1764415643.5607,3.415,-58.88,-80.06,21.14
p1,1764415643.6924,3.417,-59.03,-79.63,20.55
p1,1764415653.5209,3.393,-48.28,-78.31,30.03
p1,1764415653.5429,3.385,-48.13,-78.94,30.8
p1,1764415653.6602,3.39,-48.15,-78.84,30.68
p1,1764415653.7919,3.387,-47.29,-78.25,30.95
G,1764415655,13.079936667,-16.76988,16.9
p1,1764415663.6204,3.442,-61.47,-79.85,18.32
p1,1764415663.6424,3.432,-61.77,-79.88,18.04
p1,1764415663.7597,3.423,-62.81,-79.41,16.5
p1,1764415663.8914,3.409,-66.26,-79.96,13.51
p1,1764415673.7419,3.407,-71.79,-79.21,6.548
p1,1764415673.9909,3.41,-68.19,-79.66,11.15
p1,1764415683.8194,3.456,-67.76,-79.42,11.36
p1,1764415683.8414,3.45,-67.63,-79.34,11.41
p1,1764415683.9584,3.42,-65.79,-79.01,13.01
p1,1764415684.0904,3.438,-64.02,-79.78,15.64
p1,1764415693.9186,3.444,-60.58,-79.62,18.98
p1,1764415693.9406,3.435,-59.76,-79.49,19.68
p1,1764415694.0579,3.441,-57.94,-80.63,22.67
p1,1764415694.1896,3.439,-56.36,-78.97,22.59
p1,1764415704.0181,3.449,-50.23,-78.88,28.64
p1,1764415704.0401,3.451,-50.2,-79.36,29.16
p1,1764415704.1574,3.45,-50.46,-78.71,28.24
p1,1764415704.2891,3.446,-50.5,-79.21,28.7
p1,1764415714.1176,3.447,-56.57,-80.04,23.45
p1,1764415714.1396,3.451,-56.33,-79.93,23.58
p1,1764415714.2569,3.45,-52.37,-77.19,24.81
p1,1764415714.3886,3.45,-45.75,-78.37,32.62
G,1764415715,13.07993,-16.769876667,17.3
p1,1764415724.2171,3.464,-60.79,-79.88,19.04
p1,1764415724.2391,3.474,-61.75,-79.72,17.9
p1,1764415724.3561,3.47,-63.2,-79.65,16.35
p1,1764415724.3564,-4.635,-73.58,-81.3,6.918
p1,1764415724.4881,3.443,-67.84,-79.74,11.61
p1,1764415734.3166,3.469,-46,-73.09,27.07
p1,1764415734.3384,3.469,-45.92,-73.28,27.35
p1,1764415734.4556,3.469,-44.5,-76.9,32.4
p1,1764415734.5874,3.467,-41.9,-69.27,27.36
p1,1764415744.4159,3.458,-45.5,-74.06,28.55
p1,1764415744.4379,3.462,-45.78,-76.2,30.42
p1,1764415744.5551,3.461,-46.42,-78.64,32.21
p1,1764415744.6869,3.459,-46.56,-76.56,29.99
p1,1764415754.5153,3.454,-53.61,-78.6,24.98
p1,1764415754.5374,3.456,-53.61,-79.64,26.02
p1,1764415754.6546,3.45,-54.06,-79.34,25.26
p1,1764415754.7864,3.458,-54.09,-79.84,25.75
C,1764415756.005,5,0
p1,1764415764.6149,3.467,-64.31,-80.18,15.75
p1,1764415764.6368,3.47,-64.14,-80.2,15.94
p1,1764415764.7541,3.473,-62.08,-79.6,17.45
p1,1764415764.8859,3.471,-51.96,-79.61,27.64
p1,1764415774.7143,3.457,-37.24,-71.78,34.55
p1,1764415774.7363,3.46,-37.36,-69.53,32.17
p1,1764415774.8533,3.455,-38.06,-66.75,28.69
p1,1764415774.9853,3.458,-37.91,-70.11,32.2
G,1764415775,13.07994,-16.769871667,18
C,1764415776.005,4,0
p1,1764415784.8139,3.456,-39.06,-69.14,30.08
p1,1764415784.8358,3.458,-39.31,-66.95,27.63
p1,1764415784.9528,3.454,-40.39,-74.64,34.26
p1,1764415785.0848,3.456,-41.33,-69.53,28.2
p1,1764415794.9131,3.451,-33.93,-62,28.06
p1,1764415794.9133,3.455,-36.92,-52.6,15.56
p1,1764415794.9351,3.453,-33.86,-64.61,30.74
p1,1764415795.0523,3.453,-33.6,-72.9,39.3
p1,1764415795.1841,3.452,-34.54,-64.46,29.91
p1,1764415805.0126,3.452,-37.41,-69.47,32.06
p1,1764415805.0346,3.455,-37.02,-72.79,35.77
p1,1764415805.1518,3.454,-36.02,-72.98,36.96
p1,1764415805.2836,3.453,-35.54,-69.91,34.37
p1,1764415815.1121,3.452,-35.26,-72.01,36.75
p1,1764415815.1341,3.455,-35.37,-73.94,38.56
p1,1764415815.2513,3.454,-37.34,-69.24,31.9
p1,1764415815.3831,3.453,-39.45,-76.29,36.84
C,1764415816.005,5,0
p1,1764415825.2116,3.453,-37.51,-74.59,37.08
p1,1764415825.2336,3.457,-37.58,-72.45,34.86
p1,1764415825.3508,3.455,-37.58,-65.76,28.17
p1,1764415825.4826,3.455,-37.46,-72.71,35.26
p1,1764415835.3111,3.459,-32.47,-65.41,32.94
p1,1764415835.3331,3.462,-32.06,-62.32,30.26
p1,1764415835.4501,3.46,-33.51,-63.5,29.98
p1,1764415835.5821,3.417,-33.39,-64.12,30.72
G,1764415835,13.079936667,-16.769871667,17.8
C,1764415836.005,4,0
p1,1764415845.4103,3.454,-42.76,-53.01,9.82
p1,1764415845.4106,3.459,-40.23,-68.1,27.86
p1,1764415845.4323,3.456,-40.32,-68.3,27.97
p1,1764415845.4326,3.46,-42.8,-52.95,9.713
p1,1764415845.5496,3.456,-39.86,-73.74,33.88
p1,1764415845.6813,3.455,-39.9,-67.13,27.22
p1,1764415845.6815,3.458,-42.36,-52.94,10.18
p1,1764415855.5098,3.451,-40.86,-69.8,28.93
p1,1764415855.5101,3.455,-43.29,-52.96,9.173
p1,1764415855.5318,3.453,-41.04,-72.5,31.46
p1,1764415855.6491,3.453,-42.58,-77.88,35.29
p1,1764415855.7808,3.452,-43.43,-73.88,30.44
p1,1764415855.7811,3.454,-45.8,-53.06,6.357
p1,1764415865.6093,3.456,-58.67,-79.42,20.71
p1,1764415865.6313,3.455,-58.59,-79.88,21.26
p1,1764415865.7485,3.457,-58.13,-79.83,21.67
p1,1764415865.8803,3.455,-57.76,-79.53,21.74
p1,1764415875.7088,3.467,-65.79,-80.12,14.16
p1,1764415875.7308,3.456,-66.85,-79.79,12.72
p1,1764415875.8480,3.468,-69.04,-79.75,10.33
p1,1764415875.9798,3.469,-69.98,-80.21,9.792
G,1764415895,13.079945,-16.769866667,18.1
p1,1764415896.0468,3.416,-71.6,-79.08,6.631
p1,1764415896.1788,3.407,-68.38,-79.71,11
p1,1764415906.0073,3.426,-59.78,-79.06,19.23
p1,1764415906.0290,3.425,-59.67,-79.41,19.69
p1,1764415906.1463,3.426,-58.98,-79.48,20.46
p1,1764415906.2780,3.416,-58.11,-78.74,20.59
p1,1764415906.2783,-4.633,-68.87,-80.51,11.34
p1,1764415916.1065,3.397,-47.83,-75.52,27.69
p1,1764415916.1285,3.403,-47.91,-77.38,29.46
p1,1764415916.2457,3.399,-48.01,-79.19,31.17
p1,1764415916.3775,3.4,-47.95,-76.56,28.6
p1,1764415926.2060,3.399,-47.82,-78.49,30.67
p1,1764415926.2280,3.404,-47.87,-79.03,31.15
p1,1764415926.3453,3.401,-47.91,-78.58,30.67
p1,1764415926.4770,3.401,-47.88,-79.02,31.14
p1,1764415936.3055,3.4,-48.58,-79.46,30.87
p1,1764415936.3275,3.404,-48.49,-79.35,30.85
p1,1764415936.4448,3.401,-48.73,-76.18,27.44
p1,1764415936.5765,3.4,-49.17,-79.15,29.98
p1,1764415946.4050,3.403,-49.06,-79.02,29.96
p1,1764415946.4270,3.404,-48.99,-78.4,29.4
p1,1764415946.5440,3.399,-49.24,-75.19,25.94
p1,1764415946.6760,3.404,-49.77,-78.97,29.19
G,1764415955,13.079946667,-16.769863333,19.7
p1,1764415956.5045,3.4,-49.31,-77.8,28.48
p1,1764415956.5265,3.402,-49.28,-76.09,26.8
p1,1764415956.6435,3.399,-48.6,-77.3,28.69
