port, timestamp,snr,signal,noise,ms
G,1764152522,13.079493333,-16.770063333,16.3
p1,1764152558.2472,4.898,-29.95,-36.95,6.033
p1,1764152558.2693,3.525,-20.88,-56.23,35.36
p1,1764152558.3865,3.521,-20.99,-49.41,28.41
p1,1764152558.5182,3.52,-20.92,-56.23,35.3
p1,1764152564.3810,4.758,-66.9,-79.98,12.86
p1,1764152568.3368,3.475,-30.99,-61.25,30.25
p1,1764152568.3585,3.475,-34.52,-52.26,17.67
p1,1764152568.3588,3.478,-31.29,-59.31,28.01
p1,1764152568.4756,3.474,-32.46,-67.29,34.83
p1,1764152568.6074,3.487,-58.15,-79.04,20.86
p1,1764152573.1912,4.815,-63.24,-78.62,15.26
p1,1764152573.1915,4.783,-63.4,-77.12,13.53
p1,1764152578.4203,3.476,-25.57,-55.69,30.11
p1,1764152578.4423,3.479,-17.43,-52.53,35.1
p1,1764152578.5593,3.474,-24.83,-65.34,40.51
p1,1764152578.6909,3.478,-17.56,-50.08,32.52
G,1764152582,13.07949,-16.770045,19.6
p1,1764152588.5040,3.481,-15.07,-54.86,39.79
p1,1764152588.5260,3.484,-15.12,-55.5,40.38
p1,1764152588.6430,3.484,-15.37,-46.72,31.35
p1,1764152588.7746,3.483,-15.79,-55.84,40.06
p1,1764152598.5429,3.486,-20.9,-56.17,35.27
p1,1764152598.5649,3.488,-20.7,-52.53,31.83
p1,1764152598.6819,3.485,-20.01,-50.37,30.35
p1,1764152598.8139,3.487,-19.45,-52.16,32.71
C,1764152603.004,4,0
p1,1764152605.8014,5.369,-70.11,-78.34,7.52
p1,1764152605.8024,-5.607,-70.05,-77.41,6.478
p1,1764152608.3666,-6.798,-71.5,-79.06,6.729
p1,1764152608.6424,3.505,-9.482,-37.59,28.1
p1,1764152608.6641,3.505,-9.507,-39.82,30.3
p1,1764152608.7814,3.504,-9.665,-47.59,37.92
p1,1764152608.9131,3.504,-9.521,-37.89,28.36
p1,1764152618.7416,3.46,-3.805,-38.79,34.99
p1,1764152618.7636,3.46,-3.785,-41.55,37.77
p1,1764152618.8809,3.452,-3.966,-39.76,35.79
p1,1764152619.0126,3.515,-3.486,-41.89,38.41
p1,1764152628.8411,3.477,-12.23,-52.44,40.21
p1,1764152628.8631,3.479,-12.24,-48.05,35.81
p1,1764152628.9803,3.479,-12.67,-41.15,28.47
p1,1764152629.1121,3.481,-14.33,-52.55,38.22
p1,1764152637.9691,-4.403,-67.53,-74.67,6.208
p1,1764152638.9406,3.474,-10.36,-40.97,30.61
p1,1764152638.9626,3.478,-10.96,-39.42,28.45
p1,1764152639.0796,3.473,-10.14,-42.58,32.44
p1,1764152639.2116,3.476,-8.606,-37.13,28.52
p1,1764152641.3671,-2.256,-68.85,-76.87,7.267
G,1764152642,13.079485,-16.770051667,22
p1,1764152644.7121,-3.113,-64.64,-71.66,6.058
p1,1764152644.7374,4.75,-70.74,-78.21,6.617
p1,1764152646.0091,2.429,-65.31,-73.12,7.028
p1,1764152649.0398,3.497,-2.643,-32.91,30.27
p1,1764152649.0618,3.5,-2.629,-35.44,32.81
p1,1764152649.1791,3.5,-2.573,-41.99,39.41
p1,1764152649.3108,3.498,-2.735,-35.3,32.57
p1,1764152651.6496,-1.958,-63.56,-70.62,6.108
p1,1764152654.2203,-5.819,-70.71,-77.71,6.026
p1,1764152657.0253,-2.524,-71.81,-78.87,6.107
p1,1764152659.1395,3.474,-4.164,-41.99,37.83
p1,1764152659.1615,3.477,-3.955,-43.51,39.55
p1,1764152659.2788,3.477,-10.61,-45.39,34.77
p1,1764152659.4105,3.476,-3.593,-43.74,40.15
p1,1764152667.6501,-4.717,-69.19,-78.93,9.243
p1,1764152669.2389,3.479,-4.42,-41.82,37.4
p1,1764152669.2609,3.482,-4.194,-36.62,32.42
p1,1764152669.3779,3.477,-3.586,-31.82,28.23
p1,1764152669.5099,3.481,-4.266,-38.5,34.23
p1,1764152669.8324,-2.685,-63.39,-72.32,8.344
p1,1764152669.8331,-4.675,-64.93,-72.67,6.943
p1,1764152669.8839,-5.494,-65.65,-72.94,6.391
p1,1764152672.0186,-7.196,-68.04,-75.05,6.035
p1,1764152674.2281,5.771,-64.39,-72.72,7.636
p1,1764152674.2286,2.651,-63.59,-71.67,7.347
p1,1764152674.2549,-4.751,-65.47,-72.59,6.184
p1,1764152674.2671,6.198,-65.99,-73.05,6.113
p1,1764152675.4064,-5.807,-65.27,-77.97,12.45
p1,1764152675.4066,-5.086,-65.62,-77.23,11.3
p1,1764152676.3624,-4.736,-66.04,-74.69,8.021
p1,1764152676.3636,-5.035,-65.27,-73.6,7.64
p1,1764152676.4939,-5.429,-69.49,-78.67,8.622
p1,1764152676.4941,-3.08,-67.62,-78.16,10.14
p1,1764152679.3384,3.483,-9.358,-38.54,29.18
p1,1764152679.3601,3.482,-9.479,-37.96,28.48
p1,1764152679.4774,3.481,-10.01,-45.03,35.02
p1,1764152679.6091,3.48,-11.59,-38.68,27.08
p1,1764152679.6094,-4.638,-21.85,-41.78,19.89
p1,1764152684.3421,-5.193,-64.19,-73.57,8.851
p1,1764152684.3424,-5.479,-63.52,-73.76,9.808
p1,1764152688.2776,-4.354,-69.13,-77.97,8.229
p1,1764152688.2778,-4.371,-70.23,-79.44,8.656
p1,1764152689.4376,3.489,-2.449,-33.49,31.04
p1,1764152689.4596,3.492,-2.418,-37.95,35.53
p1,1764152689.5769,3.492,-2.406,-42.24,39.83
p1,1764152689.7086,3.491,-2.491,-36.43,33.93
p1,1764152690.4429,6.802,-68.2,-77.18,8.39
p1,1764152690.4446,3.296,-67.53,-75.63,7.358
p1,1764152699.1876,6.507,-68.66,-75.75,6.144
p1,1764152699.5371,3.489,-7.441,-47.09,39.65
p1,1764152699.5591,3.498,-7.035,-48.68,41.64
p1,1764152699.6764,3.499,-6.577,-38.26,31.68
p1,1764152699.8084,3.481,-12.53,-60.24,47.71
p1,1764152701.7859,-5.918,-70.02,-77.34,6.428
p1,1764152701.9991,-6.723,-66.83,-78.08,10.91
G,1764152702,13.079315,-16.769731667,21.8
p1,1764152705.7251,5.797,-69.07,-78.36,8.748
p1,1764152705.7254,5.569,-70,-77.66,6.834
p1,1764152708.7264,-2.877,-63.65,-72.16,7.848
p1,1764152709.3101,5.63,-68.28,-75.92,6.819
p1,1764152709.6366,3.497,-8.166,-43.3,35.13
p1,1764152709.6586,3.499,-7.388,-40.16,32.77
p1,1764152709.7756,3.495,-9.108,-37.87,28.75
p1,1764152709.9076,3.499,-9.606,-42.45,32.84
p1,1764152712.9891,-3.071,-69.87,-77.81,7.18
p1,1764152712.9894,6.505,-70.24,-79.23,8.4
p1,1764152719.2776,5.262,-69.29,-78.13,8.239
p1,1764152719.7361,3.483,-2.75,-31.38,28.63
p1,1764152719.7579,3.483,-2.727,-31.04,28.3
p1,1764152719.8751,3.485,-2.65,-38.65,36
p1,1764152720.0069,3.484,-2.819,-31.33,28.5
p1,1764152729.8354,3.489,-2.577,-35.66,33.08
p1,1764152729.8574,3.492,-2.574,-38.02,35.45
p1,1764152729.9746,3.503,-2.501,-39.68,37.18
p1,1764152730.1064,3.515,-2.501,-37.57,35.07
p1,1764152739.9349,3.484,-2.394,-42.87,40.47
p1,1764152739.9568,3.487,-2.331,-40.21,37.88
p1,1764152740.0741,3.504,-2.314,-33.01,30.69
p1,1764152740.2059,3.506,-2.233,-42.35,40.12
p1,1764152748.6228,5.471,-65.82,-74.99,8.612
p1,1764152750.0343,3.459,-2.347,-36.41,34.06
p1,1764152750.0563,3.465,-2.373,-32.27,29.89
p1,1764152750.1734,3.466,-2.381,-30.94,28.55
p1,1764152750.3053,3.447,-2.426,-34.06,31.63
p1,1764152760.1338,3.471,-2.429,-30.35,27.91
p1,1764152760.1556,3.459,-2.431,-31.99,29.55
p1,1764152760.2728,3.438,-2.407,-40.48,38.07
